Time_s,Setpoint,Position,Error,Output
1.056,90,0,90,90
1.078,90,0,90,90
1.1,90,0,90,90
1.122,90,0,90,90
1.144,45,4,41,41
1.166,45,10,35,35
1.188,45,16,29,29
1.21,45,23,22,22
1.232,45,30,15,15
1.254,45,37,8,8
1.276,45,43,2,8
1.298,45,49,-4,-4
1.32,45,50,-5,-5
1.342,45,48,-3,-3
1.364,45,46,-1,-3
1.386,45,46,-1,-3
1.408,45,45,0,-3
1.43,45,46,-1,-3
1.452,45,46,-1,-3
1.474,45,46,-1,-3
1.496,45,46,-1,-3
1.518,45,45,0,-3
1.54,45,46,-1,-3
1.562,45,45,0,-3
1.584,45,46,-1,-3
1.606,45,46,-1,-3
1.628,45,45,0,-3
1.65,45,45,0,-3
1.672,45,46,-1,-3
1.694,45,45,0,-3
1.716,45,46,-1,-3
1.738,45,46,-1,-3
1.76,45,45,0,-3
1.782,45,45,0,-3
1.804,45,45,0,-3
1.826,45,46,-1,-3
1.848,45,45,0,-3
1.87,45,45,0,-3
1.892,45,45,0,-3
1.914,45,46,-1,-3
1.936,45,45,0,-3
1.958,45,46,-1,-3
1.98,45,45,0,-3
2.002,45,46,-1,-3
2.024,45,45,0,-3
2.046,45,46,-1,-3
2.068,45,45,0,-3
2.09,45,46,-1,-3
2.112,45,45,0,-3
2.134,45,46,-1,-3
2.156,45,45,0,-3
2.178,45,46,-1,-3
2.2,45,46,-1,-3
2.222,45,45,0,-3
2.244,45,45,0,-3
2.266,45,45,0,-3
2.288,45,45,0,-3
2.31,45,45,0,-3
2.332,45,45,0,-3
2.354,45,46,-1,-3
2.376,45,45,0,-3
2.398,45,45,0,-3
2.42,45,45,0,-3
2.442,45,46,-1,-3
2.464,45,45,0,-3
2.486,45,45,0,-3
2.508,45,45,0,-3
2.53,45,45,0,-3
2.552,45,45,0,-3
2.574,45,46,-1,-3
2.596,45,45,0,-3
2.618,45,46,-1,-3
2.64,45,46,-1,-3
2.662,45,46,-1,-3
2.684,45,46,-1,-3
2.706,45,45,0,-3
2.728,45,46,-1,-3
2.75,45,45,0,-3
2.772,45,45,0,-3
2.794,45,46,-1,-3
2.816,45,45,0,-3
2.838,45,45,0,-3
2.86,45,46,-1,-3
2.882,45,45,0,-3
2.904,45,45,0,-3
2.926,45,45,0,-3
2.948,45,45,0,-3
2.97,45,46,-1,-3
2.992,45,45,0,-3
3.014,45,46,-1,-3
3.036,45,46,-1,-3
3.058,45,46,-1,-3
3.08,45,46,-1,-3
3.102,45,45,0,-3
3.124,45,45,0,-3
3.146,45,45,0,-3
3.168,45,45,0,-3
3.19,45,46,-1,-3
3.212,45,45,0,-3
3.234,45,45,0,-3
3.256,45,45,0,-3
3.278,45,46,-1,-3
3.3,45,46,-1,-3
3.322,45,46,-1,-3
3.344,45,45,0,-3
3.366,45,45,0,-3
3.388,45,45,0,-3
3.41,45,45,0,-3
3.432,45,45,0,-3
3.454,45,45,0,-3
3.476,45,45,0,-3
3.498,45,45,0,-3
3.52,45,45,0,-3
3.542,45,46,-1,-3
3.564,45,45,0,-3
3.586,45,45,0,-3
3.608,45,45,0,-3
3.63,45,45,0,-3
3.652,45,45,0,-3
3.674,45,46,-1,-3
3.696,45,45,0,-3
3.718,45,46,-1,-3
3.74,45,46,-1,-3
3.762,45,45,0,-3
3.784,45,45,0,-3
3.806,45,45,0,-3
3.828,45,46,-1,-3
3.85,45,45,0,-3
3.872,45,46,-1,-3
3.894,45,46,-1,-3
3.916,45,45,0,-3
3.938,45,45,0,-3
3.96,45,46,-1,-3
3.982,45,45,0,-3
4.004,45,45,0,-3
4.026,45,45,0,-3
4.048,45,45,0,-3
4.07,45,45,0,-3
4.092,45,46,-1,-3
4.114,45,45,0,-3
4.136,45,46,-1,-3
4.158,45,46,-1,-3
4.18,45,45,0,-3
4.202,45,46,-1,-3
4.224,45,45,0,-3
4.246,45,45,0,-3
4.268,45,45,0,-3
4.29,45,45,0,-3
4.312,45,45,0,-3
4.334,45,46,-1,-3
4.356,45,45,0,-3
4.378,45,46,-1,-3
4.4,45,45,0,-3
4.422,45,45,0,-3
4.444,45,46,-1,-3
4.466,45,46,-1,-3
4.488,45,45,0,-3
4.51,45,46,-1,-3
4.532,45,46,-1,-3
4.554,45,45,0,-3
4.576,45,45,0,-3
4.598,45,45,0,-3
4.62,45,45,0,-3
4.642,45,45,0,-3
4.664,45,45,0,-3
4.686,45,45,0,-3
4.708,45,45,0,-3
4.73,45,46,-1,-3
4.752,45,46,-1,-3
4.774,45,45,0,-3
4.796,45,45,0,-3
4.818,45,45,0,-3
4.84,45,46,-1,-3
4.862,45,45,0,-3
4.884,45,45,0,-3
4.906,45,45,0,-3
4.928,45,45,0,-3
4.95,45,45,0,-3
4.972,45,45,0,-3
4.994,45,46,-1,-3
5.016,45,45,0,-3
5.038,45,46,-1,-3
5.06,45,46,-1,-3
5.082,45,45,0,-3
5.104,45,45,0,-3
5.126,45,46,-1,-3
5.148,45,46,-1,-3
5.17,45,45,0,-3
5.192,45,45,0,-3
5.214,45,45,0,-3
5.236,45,46,-1,-3
5.258,45,45,0,-3
5.28,45,45,0,-3
5.302,45,45,0,-3
5.324,45,46,-1,-3
5.346,45,45,0,-3
5.368,45,45,0,-3
5.39,45,45,0,-3
5.412,45,45,0,-3
5.434,45,46,-1,-3
5.456,45,46,-1,-3
5.478,45,45,0,-3
5.5,45,45,0,-3
5.522,45,45,0,-3
5.544,45,45,0,-3
5.566,45,45,0,-3
5.588,45,45,0,-3
5.61,45,45,0,-3
5.632,45,45,0,-3
5.654,45,45,0,-3
5.676,45,45,0,-3
5.698,45,45,0,-3
5.72,100,46,54,54
5.742,100,46,54,54
5.764,100,48,52,52
5.786,100,53,47,47
5.808,100,59,41,41
5.83,100,65,35,35
5.852,100,72,28,28
5.874,100,79,21,21
5.896,100,86,14,14
5.918,100,93,7,7
5.94,100,95,5,5
5.962,100,95,5,5
5.984,100,99,1,5
6.006,100,103,-3,-3
6.028,100,103,-3,-3
6.05,100,101,-1,-3
6.072,100,98,2,-3
6.094,100,97,3,3
6.116,100,97,3,3
6.138,100,100,0,3
6.16,100,104,-4,-4
6.182,100,104,-4,-4
6.204,100,102,-2,-4
6.226,100,99,1,-4
6.248,100,98,2,-4
6.27,100,98,2,-4
6.292,100,98,2,-4
6.314,100,98,2,-4
6.336,100,98,2,-4
6.358,100,98,2,-4
6.38,100,98,2,-4
6.402,100,98,2,-4
6.424,100,98,2,-4
6.446,100,98,2,-4
6.468,100,98,2,-4
